74,Table #74,"40-56 Junction Blvd , Queens, NY",4,1,2022-05-04 3:01:01,2021-11-30 3:01:01
75,Table #75,"141 Mulberry Street, Manhattan, NY",4,1,2022-11-09 0:12:24,2022-07-07 0:12:24
76,Table #76,"119 23 Street , Manhattan, NY",4,1,2021-05-07 14:48:09,2021-06-20 14:48:09
77,Table #77,"90 baxter street, Manhattan, NY",4,1,2021-07-17 8:43:45,2021-11-11 8:43:45
78,Table #78,"931 Manhattan ave, Brooklyn, NY",4,1,2021-02-09 1:10:57,2022-04-15 1:10:57
79,Table #79,"5 Mott Street, Manhattan, NY",4,1,2021-09-29 8:33:09,2022-07-07 8:33:09
80,Table #80,"21 Waverly Place, Manhattan, NY",4,1,2021-02-21 6:50:49,2021-11-03 6:50:49
81,Table #81,"336 3rd Avenue, Manhattan, NY",4,1,2022-06-08 23:27:35,2022-12-18 23:27:35
82,Table #82,"181 Smith Street, Brooklyn, NY",4,1,2022-09-18 6:10:51,2021-05-19 6:10:51
83,Table #83,"228 Front st, Manhattan, NY",4,1,2022-04-28 2:41:14,2021-11-14 2:41:14
84,Table #84,"171 Ave U, Brooklyn, NY",5,1,2022-02-26 7:55:36,2022-07-12 7:55:36
85,Table #85,"1701 Foster Corp, Brooklyn, NY",5,1,2022-05-05 16:01:41,2021-06-05 16:01:41
86,Table #86,"12 West 23rd street , Manhattan, NY",5,1,2022-01-15 16:17:28,2021-09-17 16:17:28
87,Table #87,"96 Orchard, Manhattan, NY",5,1,2021-02-22 18:53:34,2022-10-06 18:53:34
88,Table #88,"201 East Tenth street, Manhattan, NY",5,1,2021-11-08 17:37:54,2021-10-18 17:37:54
89,Table #89,"28 Greenwich Avenue, Manhattan, NY",5,1,2022-10-22 18:08:03,2021-12-03 18:08:03
90,Table #90,"35-11 35th avenue, Queens, NY",5,1,2022-04-04 18:12:12,2021-07-19 18:12:12
91,Table #91,"886 Amsterdam Ave, Manhattan, NY",5,1,2021-06-21 5:14:38,2022-09-24 5:14:38
92,Table #92,"170 West 4 street, Manhattan, NY",5,1,2022-10-03 15:42:45,2022-10-09 15:42:45
93,Table #93,"168 Driggs ave , Brooklyn, NY",5,1,2022-08-05 2:50:38,2022-03-10 2:50:38
94,Table #94,"230 West 4th Street, Manhattan, NY",5,1,2022-06-16 1:27:46,2022-02-19 1:27:46
95,Table #95,"402 East 140th Street, Bronx, NY",5,1,2021-08-10 19:46:35,2021-06-30 19:46:35
96,Table #96,"239 East 53rd Street, Manhattan, NY",5,1,2022-03-02 1:28:25,2021-02-24 1:28:25
97,Table #97,"158-22 Crossbay Blvd, Queens, NY",5,1,2021-04-14 9:46:36,2022-07-16 9:46:36
98,Table #98,"609 vanderbilt ave, Brooklyn, NY",5,1,2021-08-01 14:59:35,2021-06-13 14:59:35
99,Table #99,"10 10 downing street, Manhattan, NY",5,1,2021-04-24 18:39:15,2021-06-16 18:39:15
100,Table #100,"69-46 myrtle ave, Queens, NY",5,1,2022-10-01 19:44:02,2022-01-23 19:44:02
